Category,Service / Operator Name,API Operator Code
Insurance,Shriram Life Insurance Co. Ltd.,394
Insurance,Star Health And Allied Insurance Company,693
Insurance,Star Union Dai Ichi Life Insurance,363
Insurance,TATA AIA Life Insurance,42
Insurance,TATA AIG General Insurance co. Ltd - Group,1868
Insurance,TATA AIG General Insurance co. Ltd Retail,985
Insurance,United India Insurance - Agent Collection,1099
Insurance,United India Insurance Company Limited,1009
Insurance,Universal Sompo General Insurance Co Limited Motor,1242
Landline Postpaid,Airtel Landline (Fetch and Pay),214
Landline Postpaid,BSNL Landline - Corporate,191
Landline Postpaid,BSNL Landline - Individual,131
Landline Postpaid,MTNL Delhi,40
Landline Postpaid,MTNL Mumbai,133
Landline Postpaid,MTNL Mumbai Lease Circuit,841
Loan Repayment,121 Finance Private Limited,1104
Loan Repayment,Aadhar Housing Finance Limited,568
Loan Repayment,AAVAS FINANCIERS LIMITED,317
Loan Repayment,AceN Navadhan,1912
Loan Repayment,Achiievers Finance Personal Loan,1346
Loan Repayment,Adi Chitragupta Finance Limited,1924
Loan Repayment,Aditya Birla Capital Limited,209
Loan Repayment,Aditya Birla Financial Services,209
Loan Repayment,Aditya Birla Housing Finance Limited,307
Loan Repayment,Agora Microfinance India Ltd - AMIL,491
Loan Repayment,Agriwise Finserv Limited,811
Loan Repayment,Aham Housing Finance Private Limited,1243
Loan Repayment,Altum Credo Home Finance,442
Loan Repayment,Amarpadma Credits Pvt Ltd,1152
Loan Repayment,Ambit Finvest Pvt Ltd,847
Loan Repayment,Amrit Malwa Capital Limited,776
Loan Repayment,AMU Leasing Pvt Ltd,1466
Loan Repayment,Ankur Trade Links Pvt Ltd,1605
Loan Repayment,Annapurna Finance Private Limited-MFI,553
Loan Repayment,Annapurna Finance Private Limited-MSME,424
Loan Repayment,Anscor Capital And Investment Pvt Ltd,1308
Loan Repayment,Apaarseva Foundation,1878
Loan Repayment,APAC Financial Services Pvt Ltd,661
Loan Repayment,Aptus Finance India Private Limited,530
Loan Repayment,Aptus Value Housing Finance India Limited,529
Loan Repayment,Aris Capital Pvt Limited,976
Loan Repayment,Arman Financial Services Limited,1085
Loan Repayment,Arohan Financial Services Ltd,387
Loan Repayment,ART Housing Finance (India) Limited,1190
Loan Repayment,ARTH,793
Loan Repayment,Arthan Finance Pvt Ltd,1503
Loan Repayment,Arthmate Financing India Private Limited,1153
Loan Repayment,ASA International India Microfinance Limited,1712
Loan Repayment,Ascend Capital,457
Loan Repayment,Ashv Finance,742
Loan Repayment,Asirvad Micro Finance Ltd,593
Loan Repayment,AU Bank Loan Repayment,385
Loan Repayment,Auxilo Finserve Private Limited,1838
Loan Repayment,Avanse Financial Services Ltd,420
Loan Repayment,Avanti Finance Private Limited,1089
Loan Repayment,Axis Bank Limited - Retail Loan,554
Loan Repayment,Axis Bank Limited-Digital Loan,1125
Loan Repayment,Axis Bank Limited-Microfinance,501
Loan Repayment,Axis Bank Ltd - MCA,1078
Loan Repayment,Axis Finance Limited,377
Loan Repayment,Ayaan Finserve India Private LTD,561
Loan Repayment,Aye Finance Pvt. Ltd.,625
Loan Repayment,Babasaheb Deshmukh Sahakari Bank Limited Atpadi,1244
Loan Repayment,Baid Finserv Limited,421
Loan Repayment,Bajaj Auto Credit Limited,1401
Loan Repayment,Bajaj Finance,388
Loan Repayment,Bajaj Finance Ltd,1378
Loan Repayment,Bajaj Housing Finance Limited,570
Loan Repayment,Bandhan Bank Loan,1839
Loan Repayment,Bazaari Finance,1250
Loan Repayment,Behariji Dealers Pvt Ltd,1854
Loan Repayment,Belstar Microfinance Limited,586
Loan Repayment,BERAR Finance Limited,419
Loan Repayment,Beryl Securities,1758
Loan Repayment,Best Capital Services Ltd,1814
Loan Repayment,Bhala Finance Private Limited,1607
Loan Repayment,Bharat Financial Inclusion Ltd,494
Loan Repayment,Bhgala Livelihood Finserv Limited,1333
Loan Repayment,Bike Bazaar,1189
Loan Repayment,Bizloan Private Limited,1873
Loan Repayment,Blackbuck Finserve,1418
Loan Repayment,Boundparivar Loan,1256
Loan Repayment,BSS Microfinance Limited,1774
Loan Repayment,BWDA Finance Ltd,1187
Loan Repayment,Can Fin Homes Ltd,1642
Loan Repayment,Capital India Finance Limited,1510
Loan Repayment,Capital India Home Loans Limited,780
Loan Repayment,Capital Trust Limited,1013
Loan Repayment,Capri global Capital Limited (Gold Loan),327
Loan Repayment,Capri Global Capital Limited (MSME Loan),1492
Loan Repayment,Capri Global Capital Limited (Solar Loan),1650
Loan Repayment,Capri Global Housing Finance,344
Loan Repayment,Cars24 Financial Services Private Limited,379
Loan Repayment,CASHe,898
Loan Repayment,Cashtree Finance,1022
Loan Repayment,CDL Financial Services Private Limited,1828
Loan Repayment,Chaitanya India Fin Credit Pvt Ltd,447
Loan Repayment,Choice Finserv Pvt Ltd,1481
Loan Repayment,Cholamandalam Investment and Finance Company Limited,697
Loan Repayment,CKM MFS Foundation,1831
Loan Repayment,Clix,321
Loan Repayment,CNH Industrial Capital Pvt. Ltd.,680
Loan Repayment,Credila Financial Services,1905
Loan Repayment,Credit One Payments Solutions Pvt Ltd,760
Loan Repayment,Credit Saison,839
Loan Repayment,Credit Wise Capital,445
Loan Repayment,CreditAccess Grameen - Retail Finance,481
Loan Repayment,Criss Financial Limited,626
Loan Repayment,CSL Finance,1272
Loan Repayment,Dadhich Finserv PVt Ltd,1209
Loan Repayment,DCB Bank Loan Repayment,462
Loan Repayment,DCBS Loan,645
Loan Repayment,Deccan Finance Limited,721
Loan Repayment,Del Capital Private Limited,1324
Loan Repayment,Dev Finance,681
Loan Repayment,Dhanmax Finance Private Limited,1310
Loan Repayment,Dhara Motor Finance Ltd,1736
Loan Repayment,Digamber Capfin Limited,448
Loan Repayment,Diwakar Tracom Private Limited,614
Loan Repayment,DMI Finance Private Limited,233
Loan Repayment,DMI Housing Finance Pvt. Ltd.,1575
Loan Repayment,Dvara Kshetriya Gramin Financials Services Private Limited,510
Loan Repayment,Easy Home Finance Limited,376
Loan Repayment,EDC Limited,919
Loan Repayment,Eduvanz Financing Pvt. Ltd.,463
Loan Repayment,Electronica Finance Limited,652
Loan Repayment,Emerald Finance,1282
Loan Repayment,Epimoney Private Limited,1744
Loan Repayment,Equitas SFB - Microfinance Loan,575
Loan Repayment,Equitas Small Finance Bank - Retail Loan,627
Loan Repayment,ESAF Small Finance Bank (Micro Loans),541
Loan Repayment,ESAF Small Finance Bank (Retails Loans),777
Loan Repayment,Ezfinanz,720
Loan Repayment,Faircent-Borrower EMI Account,325
Loan Repayment,Federal Bank Loan Repayment,1609
Loan Repayment,Feemonk,1321
Loan Repayment,Fexprime Finance (P) Ltd (Formerly Bussan Auto Finance),671
Loan Repayment,Fin Coopers Capital Private Limited,1721
Loan Repayment,Finazone Micro Services Foundation,1643
Loan Repayment,Fincare Small Finance Bank,430
Loan Repayment,Finnable,1286
Loan Repayment,Finova Capital Private Ltd,649
Loan Repayment,Five Star Business Finance,820
Loan Repayment,FlexiLoans,444
Loan Repayment,Flexsalary,297
Loan Repayment,Flipkart Finance Private Limited,1900
Loan Repayment,Fusion Finance Ltd MFI,1665
Loan Repayment,Fusion Finance Ltd-MSME,1458
Loan Repayment,G U Financial Services Pvt Ltd,557
Loan Repayment,Gajara Micro Finance Private Limited,1840
Loan Repayment,GEV Focus Capital Private Limited,1936
Loan Repayment,Girnar Capital (Formerly Khemlani Finance),1327
Loan Repayment,Grameen Koota Microfinance (CreditAccess Grameen Ltd),480
Loan Repayment,Grihum Housing Finance Limited,1163
Loan Repayment,GrowXCD Finance Private Limited,1759
Loan Repayment,HDB Financial Services Limited,527
Loan Repayment,HDFC Bank Retail Assets,1670
Loan Repayment,Hedge Finance Ltd,1025
Loan Repayment,Hero FinCorp Limited,267
Loan Repayment,Hero Housing Finance Ltd,903
Loan Repayment,Hindon Mercantile Limited - Mufin,615
Loan Repayment,Hinduja Housing Finance Limited,806
Loan Repayment,Hinduja Leyland Finance,871
Loan Repayment,Hiranandani Financial Services Pvt Ltd,471
Loan Repayment,HMT Finance Pvt Ltd,1563
Loan Repayment,Home Credit India Finance Pvt. Ltd,425
Loan Repayment,Home First Finance Company India Limited,472
Loan Repayment,i2i Funding-Borrower EMI Repayment,326
Loan Repayment,ICICI BANK - Interest Repayment Loans,667
Loan Repayment,ICICI Bank Ltd - Loans,406
Loan Repayment,ICICI Home Finance,1869
Loan Repayment,IDF Financial Services Private Limited,569
Loan Repayment,IDFC FIRST Bank Ltd,261
Loan Repayment,IFFCO Kisan Finance Limited,1287
Loan Repayment,IFL Finance Ltd Gold Loan,1233
Loan Repayment,IFL Finance Ltd Home Loan,1234
Loan Repayment,IIFL Finance Limited,475
Loan Repayment,IIFL Home Finance,476
Loan Repayment,IIFL Samasta Finance Ltd - Microfinance Loans,521
Loan Repayment,IIFL Samasta Finance Ltd - Retail Loans,807
Loan Repayment,IKF Finance Ltd,1764
Loan Repayment,Indel Money Limited,1509
Loan Repayment,Indi Rupee,1925
Loan Repayment,India Home Loan Limited,461
Loan Repayment,India Shelter Finance Corporation Limited,426
Loan Repayment,Indiabulls Commercial Credit Ltd,526
Loan Repayment,Indian Bank Loan EMI,1298
Loan Repayment,Inditrade Microfinance Limited,1745
Loan Repayment,Indostar Capital Finance Limited - CV,576
Loan Repayment,Indostar Capital Finance Limited - SME,631
Loan Repayment,INDUSIND BANK - CFD,443
Loan Repayment,Infinity Fincorp Solutions Pvt Ltd,1265
Loan Repayment,InPrime Finserv,1901
Loan Repayment,IREP Credit Capital Private Limited,1821
Loan Repayment,ITI Credit Limited Erstwhile Fortune Credit Capital Limited,679
Loan Repayment,ITI Finance Limited,771
Loan Repayment,ITI Gold,1927
Loan Repayment,ITI Housing Finance Limited,1097
Loan Repayment,Jagobangla Micro Service Foundation,1832
Loan Repayment,Jain Autofin,378
Loan Repayment,Jain Motor Finmart,493
Loan Repayment,Jamnalal Parekh Finance Private Limited,1946
Loan Repayment,Jana Small Finance Bank,390
Loan Repayment,Janakalyan Financial Services Private Limited,488
Loan Repayment,Janasha Finance,1799
Loan Repayment,Jassi Hire Purchase Limited,1714
Loan Repayment,Jeevan Dhara,1283
Loan Repayment,JM Financial Home Loans Ltd.,1485
Loan Repayment,John Deere Financial India Private Limited,512
Loan Repayment,Kaabil Finance Private Limited,1760
Loan Repayment,Kallada General Finance Private Limited,1751
Loan Repayment,Kamal Autofinance Pvt Ltd,1483
Loan Repayment,Kamal Finserve Private Limited,1577
Loan Repayment,Kanakadurga Finance Limited - Gold Loans,692
Loan Repayment,Kanakadurga Finance Limited - Vehicle Loans,427
Loan Repayment,Kannattu Finance Nidhi Ltd,1198
Loan Repayment,Kannattu Fingold Finance Pvt Ltd,1199
Loan Repayment,Karnataka Grameena Bank,1815
Loan Repayment,Karnataka Vikas Grameena Bank Loan Repayment,1722
Loan Repayment,Karpagam Hire Purchase And Finance Pvt Ltd,936
Loan Repayment,Keertana Finserv Private Limited,1096
Loan Repayment,Kerala Gramin Bank,1808
Loan Repayment,Keshaw Microfinance,1434
Loan Repayment,Khush Housing Finance Pvt Ltd,482
Loan Repayment,Khushbu Auto Finance Limited,1855
Loan Repayment,KIFS Housing Finance Ltd,945
Loan Repayment,Kinara Capital,407
Loan Repayment,Kissht,393
Loan Repayment,KLM Axiva Finvest Limited,1426
Loan Repayment,Kogta Financial India Limited,848
Loan Repayment,Konark Commercial Ltd,1845
Loan Repayment,Kosamattam Finance Ltd,1370
Loan Repayment,Kotak Mahindra Bank Ltd.-Loans,520
Loan Repayment,Kotak Mahindra Prime Limited,507
Loan Repayment,Kps Micro Services Foundation,1419
Loan Repayment,KREDITBEE,641
Loan Repayment,Kusalava Finance Limited,761
Loan Repayment,L and T Finance Limited,299
Loan Repayment,Laxmi India Finance Limited,921
Loan Repayment,Lendingkart Finance Limited,1349
Loan Repayment,Light Microfinance Private Limited,474
Loan Repayment,Livfin India Private Limited,1881
Loan Repayment,Loan2Wheels,617
Loan Repayment,LOANTAP CREDIT PRODUCTS PRIVATE LIMITED,391
Loan Repayment,Loanzen Finance Pvt Ltd,938
Loan Repayment,Loksuvidha,300
Loan Repayment,Lord Krishna Financial Services Limited,744
Loan Repayment,Mahaveer Finance India Limited,497
Loan Repayment,Mahindra and Mahindra Financial Services Limited,508
Loan Repayment,Mahindra Finance Consumer Loans,893
Loan Repayment,Mahindra Home Finance,428
Loan Repayment,Maitreya Capital and Business Services Private Limited,1017
Loan Repayment,Manappuram Asset Finance Ltd Micro Finance,1723
Loan Repayment,Manappuram Asset Finance Ltd Mortgage Loan,1725
Loan Repayment,Manappuram Asset Finance Ltd Two wheeler Loan,1724
Loan Repayment,Manappuram Asset Finance Ltd Vehicle Loan,1726
Loan Repayment,Manappuram Finance Limited,699
Loan Repayment,Manappuram Finance Limited-Vehicle Loan,331
Loan Repayment,Manappuram Home Finance Ltd,862
Loan Repayment,Manba Finance Ltd,1651
Loan Repayment,Mangal Credit and Fincorp Limited,1039
Loan Repayment,Mangal Vehicle Finance Pvt Ltd,1599
Loan Repayment,Mangala Infin Ltd,1692
Loan Repayment,MAS Financial Services Limited,1218
Loan Repayment,Mas Rural Housing and Mortgage Finance Ltd,1580
Loan Repayment,Mascot Projects Private Limited,1890
Loan Repayment,Maxvalue Credits And Investments Ltd,440
Loan Repayment,MDFC Financiers Pvt Ltd,594
Loan Repayment,Megha Holdings Pvt Ltd,1251
Loan Repayment,Mentor Home Loans India Limited,1683
Loan Repayment,Mere Apne Micro Finance,1284
Loan Repayment,Mere Apne Nidhi,1288
Loan Repayment,Metrocity Finance Pvt Ltd,1403
Loan Repayment,MGC Finance Private Limited,1916
Loan Repayment,MGM Financiers,1226
Loan Repayment,Midland Microfin Ltd,449
Loan Repayment,Mitrata Inclusive Financial Services Ltd,1784
Loan Repayment,Mitron Capital,531
Loan Repayment,Monedo Financial Services Pvt Ltd,764
Loan Repayment,Moneyboxx Finance Limited,1208
Loan Repayment,Moneyplus Financial Services Limited,1561
Loan Repayment,Motilal Oswal Home Finance,301
Loan Repayment,MPee Finance Pvt Ltd,1882
Loan Repayment,MS Fincap Pvt Ltd,1311
Loan Repayment,Mufin Green Finance Limited,1652
Loan Repayment,Muthoot BL SME,1462
Loan Repayment,Muthoot Capital Services Ltd,560
Loan Repayment,Muthoot Finance,511
Loan Repayment,Muthoot Finance InstaPL,1716
Loan Repayment,Muthoot Finance-Personal Loan,682
Loan Repayment,Muthoot Fincorp Ltd,489
Loan Repayment,Muthoot Homefin Limited,653
Loan Repayment,Muthoot Housing Finance Company Limited,534
Loan Repayment,Muthoot Microfin Limited,374
Loan Repayment,Muthoot Money,618
Loan Repayment,Muthoot Money - Gold Loan,772
Loan Repayment,Muthoot Vehicle And Asset Finance Limited,860
Loan Repayment,Muthoot Vehicle And Asset Finance Limited Gold Loan,1116
Loan Repayment,Muthoottu Mini EMI,1947
Loan Repayment,Muthoottu Mini Non-EMI,1948
Loan Repayment,MyShubhLife,663
Loan Repayment,NABFINS,662
Loan Repayment,Namdev Finvest Pvt Ltd,998
Loan Repayment,Namra Finance Ltd,1075
Loan Repayment,Navachetana Microfin Services Pvt Ltd,1816
Loan Repayment,Navadhan Capital,1769
Loan Repayment,Navi Loans,1162
Loan Repayment,NeoGrowth Credit Private Limited,1883
Loan Repayment,Netafim Agricultural Financing Agency Pvt. Ltd.,518
Loan Repayment,Nidhilakshmi Finance,458
Loan Repayment,Nissan Renault Financial services India Private Limited,1817
Loan Repayment,NM Finance,459
Loan Repayment,Novelty Finance Ltd,528
Loan Repayment,OHMYLOAN,422
Loan Repayment,Oracle Marketing Pvt Ltd,1907
Loan Repayment,Orange Retail Finance India Pvt Ltd,499
Loan Repayment,Oroboro,460
Loan Repayment,Oxyzo Financial Services Pvt Ltd,383
Loan Repayment,Pahal Finance Individual Loan / Vehicle Loan,1055
Loan Repayment,Pahal Financial Services Pvt Ltd,592
Loan Repayment,Paisabuddy Finance Pvt Ltd,872
Loan Repayment,Paisalo Digital Limited,1589
Loan Repayment,Perfect Capital Services Ltd,1604
Loan Repayment,Perfect Finsec Pvt. Ltd.,1459
Loan Repayment,Pink City Fincap Pvt Ltd,1569
Loan Repayment,Piramal Finance Limited,941
Loan Repayment,PKF Finance Limited,1917
Loan Repayment,Pooja Finstock International Limited,1929
Loan Repayment,Poonawalla Fincorp Ltd,809
Loan Repayment,Prayas Financial Services Private Limited,1570
Loan Repayment,Protium,698
Loan Repayment,Punjab National Bank,740
Loan Repayment,R.Sen and Company Investment and Finance Pvt. Ltd.,707
Loan Repayment,Rahimatpur Sahakari Bank Ltd,1141
Loan Repayment,Rajasthan Mahila Nidhi,1154
Loan Repayment,Ramaiah Capital Pvt Ltd,794
Loan Repayment,Rander Peoples Co Operative Bank Ltd,545
Loan Repayment,RBA Finance Pvt Ltd,1473
Loan Repayment,RBL Bank Microfinance,1841
Loan Repayment,Reliance ARC,646
Loan Repayment,Reliant Credits India Limited,1227
Loan Repayment,Repco Micro Finance,1671
Loan Repayment,Revfin Capital,1309
Loan Repayment,Richline Finance Ltd,1594
Loan Repayment,Richmax Finvest Private Limited,1875
Loan Repayment,Ritwik Finance Enterprises Pvt Ltd,1795
Loan Repayment,RMK Fincorp Pvt Ltd,579
Loan Repayment,Royal Rao Balaji Micro Finance Foundation,1735
Loan Repayment,RupeeRedee,398
Loan Repayment,Rupitol Finance Pvt Ltd,1375
Loan Repayment,S V Creditline Limited,1600
Loan Repayment,Sabharwal Finance And Estates Private Limited,1918
Loan Repayment,Sakthi Finance Ltd,1350
Loan Repayment,Samavesh Finserve Private Limited,1672
Loan Repayment,Sammaan Capital Limited,318
Loan Repayment,Sammaan Finserve Limited,1949
Loan Repayment,Sampournasamuh M F,1351
Loan Repayment,Samraddh Bestwin Micro Finance Association,1684
Loan Repayment,Samrat Motor Finance Ltd,927
Loan Repayment,Samunnati,1945
Loan Repayment,Saraswat Bank - Loan Repayment,827
Loan Repayment,Sarva Haryana Gramin Bank,1770
Loan Repayment,Sarvagram Fincare Pvt Ltd.,1835
Loan Repayment,Sarvjan India Fintech Private Limited,562
Loan Repayment,Sathiindia Micro Service Foundation,1864
Loan Repayment,Satin Creditcare Network Limited,1787
Loan Repayment,Satin Housing Finance Ltd,1891
Loan Repayment,Satya MicroCapital Ltd,930
Loan Repayment,Save Microfinance Private Limited,1463
Loan Repayment,SBFC Finance Limited,808
Loan Repayment,Seeds Fincap Private Limited,1792
Loan Repayment,Setia Auto Finance Pvt Ltd,861
Loan Repayment,Sewa Grih Rin Limited,1065
Loan Repayment,SG Royal Capital Pvt Ltd,1564
Loan Repayment,Shalibhadra Finance Limited,984
Loan Repayment,Share India Fincap Pvt Ltd,1008
Loan Repayment,Shine Blue Hire Purchase Ltd.,683
Loan Repayment,Shivalik Small Finance Bank Ltd,1595
Loan Repayment,Shivaya Capital Private Limited,1659
Loan Repayment,Shri Ram Finance Corporation Pvt Ltd,1371
Loan Repayment,Shriram Finance Ltd.,375
Loan Repayment,Shubham Housing Development Finance Company Ltd,635
Loan Repayment,Shyamdhani Micro Association,1800
Loan Repayment,Singhi Finance Private Limited,1694
Loan Repayment,Singularity Creditworld Private Limited,1303
Loan Repayment,SM Square Credit Services Private Limited,1505
Loan Repayment,Smart Credit India Finance Limited,1801
Loan Repayment,SMEcorner,516
Loan Repayment,SMFG India Credit Company Limited,556
Loan Repayment,SMFG India Home Finance Company Limited,555
Loan Repayment,Snapmint Financial Services Pvt Ltd,303
Loan Repayment,Sonata Finance,810
Loan Repayment,Spandana Sphoorty Financial Ltd,628
Loan Repayment,Speel Finance Company Private Limited (Pocketly),1090
Loan Repayment,Spinny Capital Private Limited,1859
Loan Repayment,Srei Infrastructure Finance Ltd,1829
Loan Repayment,SRG Fincap Pvt Ltd,1565
Loan Repayment,SRG Housing Finance Limited,1646
Loan Repayment,SRNG Finance Pvt Ltd,1818
Loan Repayment,StashFin,495
Loan Repayment,State Bank of India(SBI) - Loans,1930
Loan Repayment,Status Leasing and Finance Ltd,1794
Loan Repayment,STREE NIDHI - TELANGANA,691
Loan Repayment,StuCred,1585
Loan Repayment,Subhlakshmi Finance Pvt. Ltd,1506
Loan Repayment,Sundaram Finance Limited,1695
Loan Repayment,Suneet Finman Private Limited,1320
Loan Repayment,Supra Pacific Financial Services Ltd,1238
Loan Repayment,Suryoday Small Finance Bank,655
Loan Repayment,Svakarma Finance Private Limited,1732
Loan Repayment,Svatantra Micro Housing Finance Corporation Limited,1472
Loan Repayment,Svatantra Microfin Private Limited,441
Loan Repayment,Swadha Finlease,1669
Loan Repayment,Swara Fincare Limited,773
Loan Repayment,Tangent Profin Private Limted,1746
Loan Repayment,Tata Capital Housing Finance Limited,515
Loan Repayment,Tata Capital Limited,304
Loan Repayment,Tata Motors Finance Limited,587
Loan Repayment,Tatkal Loan India Private Limited,1776
Loan Repayment,Techfino Capital Pvt Ltd,1635
Loan Repayment,Thangam Capital Private Limited,1903
Loan Repayment,The Kurla Nagarik Sahakari Bank Ltd,986
Loan Repayment,Three65 Financial Services Pvt Ltd,1566
Loan Repayment,Tiffany Finance Private Limited,1299
Loan Repayment,Toyota Financial Services,384
Loan Repayment,Transwarranty Finance Limited,1590
Loan Repayment,Treedha Finance Private Limited,1450
Loan Repayment,Truhome Finance Ltd. formerly Shriram Housing Finance Ltd.,392
Loan Repayment,TS Cheema Finance Private Limited,1897
Loan Repayment,TVS Credit,479
Loan Repayment,Tyger Capital Private Limited,431
Loan Repayment,Tyger Home Finance Private Limited,487
Loan Repayment,UCO Bank Loan,1494
Loan Repayment,UGRO Capital Limited,708
Loan Repayment,Ujala Micro Finance,1777
Loan Repayment,Ujjivan Small Finance Bank,473
Loan Repayment,Ummeed Housing Finance Pvt Ltd,1188
Loan Repayment,Unico Housing Finance Private Limited,1910
Loan Repayment,Unigold Finance Limited,1271
Loan Repayment,Unimoni Financial Services Ltd,964
Loan Repayment,Union Bank of India-Loans,819
Loan Repayment,Unity Small Finance Bank Limited,743
Loan Repayment,Unnayan Bharat Finance Corporation Private Limited,782
Loan Repayment,Upkaar Micro Finance,1417
Loan Repayment,Urban Living Finance India Limited,1830
Loan Repayment,Utkarsh Bank Loan Repayment,987
Loan Repayment,Vandnam Care Foundation,1911
Loan Repayment,Varashakti Housing Finance Private Limited,1822
Loan Repayment,Varthana,322
Loan Repayment,Vastu Finserve India Private Limited,745
Loan Repayment,Vastu Housing Finance Corporation Limited,362
Loan Repayment,Vector Finance Private Limited,1932
Loan Repayment,Velicham Finance,1449
Loan Repayment,Veritas Finance,972
Loan Repayment,VFS Capital Limited,992
Loan Repayment,VFS Capital Ltd - MSME Loans,1376
Loan Repayment,Vinayaka Capsec Pvt Ltd,1511
Loan Repayment,Visionfund India Private Limited,1228
Loan Repayment,Vistaar Financial services Private Limited,500
Loan Repayment,We Pay Finance Pvt Ltd,711
Loan Repayment,Wonder Home Finance Limited,910
Loan Repayment,Yes Bank Ltd - Loan Payment,890
Loan Repayment,Yogakshemam Loans Ltd,542
Loan Repayment,Yuwan Financiers Private Limited,1762
Loan Repayment,Zeal Holdings,1935
Loan Repayment,ZestMoney,389
Loan Repayment,Ziploan,574
Loan Repayment,Zoho Finance Private Limited,1944
LPG Gas,Bharat Gas (BPCL),BPCLGC
LPG Gas,Bharat Gas (BPCL) - Commercial,BPCLCGC
LPG Gas,HP Gas (HPCL),HPCLGC
LPG Gas,Indane Gas (Indian Oil),IOCLGC
Mobile Recharge,Airtel,A
Mobile Recharge,BSNL STV,BR
Mobile Recharge,BSNL TOPUP,BT
Mobile Recharge,Jio,RC
Mobile Recharge,Jio Prepaid Live,JIOL
Mobile Recharge,Vi Prepaid Live,VIL
Mobile Recharge,Vodafone Idea,V
Municipal Taxes,Agartala Municipal Corporation,1191
Municipal Taxes,Ahmedabad Municipal Corporation,373
Municipal Taxes,Ajmer Nagar Nigam,798
Municipal Taxes,Bhiwandi Nizampur City Municipal Corporation,1892
Municipal Taxes,Bhubaneswar Municipal Corporation,1752
Municipal Taxes,Bicholim Municipal council,607
Municipal Taxes,Bicholim Municipal council Trade License,1352
Municipal Taxes,Canacona Municipal council,610
Municipal Taxes,Canacona Municipal Council Trade License,1353
Municipal Taxes,Chhatrapati Sambhajinagar Municipal Corporation,1785
Municipal Taxes,Commissioner and Director of Municipal Administration Hyderabad Telangana,931
Municipal Taxes,Corporation of City Panaji,598
Municipal Taxes,Corporation of City Panaji Trade License,1354
Municipal Taxes,Cuncolim Municipal council,611
Municipal Taxes,Cuncolim Municipal Council Trade License,1355
Municipal Taxes,Curchorem Cacora Municipal council,608
Municipal Taxes,Curchorem Cacora Municipal Council Trade License,1356
Municipal Taxes,Davangere Citi Municipal Corporation,1408
Municipal Taxes,Dewas Municipal Corporation,1245
Municipal Taxes,Directorate of Municipal Administration Karnataka,709
Municipal Taxes,Gorakhpur Nagar Nigam,1833
Municipal Taxes,Gram Panchayat Dhamner,1056
Municipal Taxes,Gram Panchayat Tantithaya,1874
Municipal Taxes,GRAM PANCHAYAT WANGI,1072
Municipal Taxes,Gramin Nalpani Yojana Grampanchayat Shiye,1258
Municipal Taxes,Grampanchayat Aitawade Khurd,1405
Municipal Taxes,Grampanchayat Ambegaon,1042
Municipal Taxes,Grampanchayat Halondi Gram Nidhi,952
Municipal Taxes,Grampanchayat Hingangaon Budruk,1043
Municipal Taxes,Grampanchayat Kheradewangi,1041
Municipal Taxes,GRAMPANCHAYAT NEVARI,1040
Municipal Taxes,Grampanchayat Ujalaiwadi (Property Tax),1898
Municipal Taxes,Greater Chennai Corporation,538
Municipal Taxes,Greater Hyderabad Municipal Corporation,863
Municipal Taxes,Gulbarga City Corporation,630
Municipal Taxes,Hubli-Dharwad Municipal Corporation,563
Municipal Taxes,Jejuri Nagarparishad,700
Municipal Taxes,Kolhapur Municipal corporation- Property tax,719
Municipal Taxes,Kolkata Municipal Corporation,885
Municipal Taxes,Kolkata Municipal Corporation - Market Regular Demand,1174
Municipal Taxes,Kolkata Municipal Corporation-Trade license,1312
Municipal Taxes,Lucknow Nagar Nigam,1404
Municipal Taxes,Madhya Pradesh Urban (e-Nagarpalika) - Property Tax,371
Municipal Taxes,Mangalore Municipal Corporation,1379
Municipal Taxes,Margao Municipal Council,599
Municipal Taxes,Margao Municipal Council Trade License,1357
Municipal Taxes,MCGM Property Tax,672
Municipal Taxes,Mhapsa Municipal Council,600
Municipal Taxes,Mhapsa Municipal Council Trade License,1358
Municipal Taxes,Minicipal Corporation - Meerut,547
Municipal Taxes,Mira Bhayander Municipal Corporation,710
Municipal Taxes,Mormugao Municipal Council,601
Municipal Taxes,Mormugao Municipal Council Trade License,1359
Municipal Taxes,Municipal Corporation Bhopal,826
Municipal Taxes,Municipal Corporation Of Delhi,1771
Municipal Taxes,Municipal Corporation Of The City Of Chandrapur,966
Municipal Taxes,Municipal Corporation Rohtak,573
Municipal Taxes,Municipal Corporation Shimla,622
Municipal Taxes,Nagar Nigam Agra,546
Municipal Taxes,Nagar Nigam Aligarh - Municipal Taxes,498
Municipal Taxes,Nagar Nigam Firozabad,1488
Municipal Taxes,Nagar Nigam Jhansi,1601
Municipal Taxes,Nagar Nigam Mathura-Vrindavan,612
Municipal Taxes,Nagar Nigam Saharanpur,1673
Municipal Taxes,Nagar Palika Jaitaran,960
Municipal Taxes,Nagar Palika Palia Kalan,684
Municipal Taxes,Nagar Palika Parishad - Sitapur,731
Municipal Taxes,Nagar Palika Parishad Lalitpur,548
Municipal Taxes,Nagar Palika Parishad Muzaffarnagar,1006
Municipal Taxes,Nagar Parishad Beawar,1313
Municipal Taxes,Nagar Parishad Yavatmal,1477
Municipal Taxes,Navi Mumbai Municipal Corporation Property Tax,1763
Municipal Taxes,Odisha Municipal Payments Property Tax,1289
